prompt_ix,base_sequence_ix,passage_ix,source,role,target_sha256,target_tokens_total,target_tokens,skipped_initial_content_tokens,target_start_token_ix,rendered_tokens,filler_tokens,decoded_target_tokens_match
43,14,14,c4,assistant,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,833,0,84,919,76,False
44,14,14,c4,tool,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,833,0,81,917,76,False
45,15,15,c4,user,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,99,0,116,217,113,False
46,15,15,c4,assistant,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,99,0,121,222,113,False
47,15,15,c4,tool,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,99,0,118,220,113,False
48,16,16,c4,user,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,274,0,3,279,0,False
49,16,16,c4,assistant,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,274,0,7,283,0,False
50,16,16,c4,tool,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,274,0,5,282,0,False
51,17,17,c4,user,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,435,0,65,502,62,False
52,17,17,c4,assistant,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,435,0,70,507,62,False
53,17,17,c4,tool,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,435,0,67,505,62,False
54,18,18,c4,user,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,320,0,51,373,48,False
55,18,18,c4,assistant,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,320,0,56,378,48,False
56,18,18,c4,tool,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,320,0,53,376,48,False
57,19,19,c4,user,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,53,0,25,80,22,False
58,19,19,c4,assistant,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,53,0,30,85,22,False
59,19,19,c4,tool,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,53,0,27,83,22,False
60,20,20,c4,user,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,300,0,11,313,8,False
61,20,20,c4,assistant,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,300,0,16,318,8,False
62,20,20,c4,tool,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,300,0,13,316,8,False
63,21,21,c4,user,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,226,0,17,245,14,False
64,21,21,c4,assistant,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,226,0,22,250,14,False
65,21,21,c4,tool,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,226,0,19,248,14,False
66,22,22,c4,user,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,53,0,23,78,20,False
67,22,22,c4,assistant,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,53,0,28,83,20,False
68,22,22,c4,tool,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,53,0,25,81,20,False
69,23,23,c4,user,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,1024,0,56,1082,53,True
70,23,23,c4,assistant,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,1024,0,60,1086,53,True
71,23,23,c4,tool,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,1024,0,58,1086,53,True
72,24,24,c4,user,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,201,0,14,217,11,False
73,24,24,c4,assistant,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,201,0,19,222,11,False
74,24,24,c4,tool,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,201,0,16,220,11,False
75,25,25,c4,user,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,313,0,50,365,47,False
76,25,25,c4,assistant,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,313,0,55,370,47,False
77,25,25,c4,tool,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,313,0,52,368,47,False
78,26,26,c4,user,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,78,0,3,83,0,False
79,26,26,c4,assistant,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,78,0,7,87,0,False
80,26,26,c4,tool,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,78,0,5,86,0,False
81,27,27,c4,user,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,224,0,37,263,34,True
82,27,27,c4,assistant,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,224,0,42,268,34,True
83,27,27,c4,tool,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,224,0,39,267,34,True
84,28,28,c4,user,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,337,337,0,13,352,10,False
85,28,28,c4,assistant,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,337,337,0,18,357,10,False
86,28,28,c4,tool,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,338,338,0,15,356,10,False
87,29,29,c4,user,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,1024,0,5,1031,2,True
88,29,29,c4,assistant,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,1024,0,10,1036,2,True
89,29,29,c4,tool,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,1024,0,7,1035,2,True
90,30,30,c4,user,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,38,0,13,53,10,False
91,30,30,c4,assistant,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,38,0,18,58,10,False
92,30,30,c4,tool,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,38,0,15,56,10,False
93,31,31,c4,user,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,69,0,44,115,41,False
94,31,31,c4,assistant,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,69,0,49,120,41,False
95,31,31,c4,tool,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,69,0,46,118,41,False
96,32,32,c4,user,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,278,0,21,301,18,False
97,32,32,c4,assistant,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,278,0,26,306,18,False
98,32,32,c4,tool,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,278,0,23,304,18,False
99,33,33,c4,user,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,63,0,80,145,77,False
100,33,33,c4,assistant,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,63,0,84,149,77,False
101,33,33,c4,tool,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,63,0,82,148,77,False
102,34,34,c4,user,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,47,0,46,95,43,False
103,34,34,c4,assistant,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,47,0,51,100,43,False
104,34,34,c4,tool,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,47,0,48,98,43,False
105,35,35,c4,user,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,167,0,25,194,22,False
106,35,35,c4,assistant,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,167,0,30,199,22,False
107,35,35,c4,tool,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,167,0,27,197,22,False
108,36,36,c4,user,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,774,0,37,813,34,False
109,36,36,c4,assistant,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,774,0,42,818,34,False
110,36,36,c4,tool,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,774,0,39,816,34,False
111,37,37,c4,user,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,131,0,50,183,47,False
112,37,37,c4,assistant,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,131,0,55,188,47,False
113,37,37,c4,tool,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,131,0,52,186,47,False
114,38,38,c4,user,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,259,0,233,494,230,False
115,38,38,c4,assistant,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,259,0,238,499,230,False
116,38,38,c4,tool,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,259,0,235,497,230,False
117,39,39,c4,user,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,840,0,9,851,6,False
118,39,39,c4,assistant,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,840,0,13,855,6,False
119,39,39,c4,tool,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,840,0,11,854,6,False
120,40,40,c4,user,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,115,0,31,148,28,False
121,40,40,c4,assistant,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,115,0,36,153,28,False
122,40,40,c4,tool,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,115,0,33,151,28,False
123,41,41,c4,user,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,665,0,51,718,48,False
124,41,41,c4,assistant,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,665,0,56,723,48,False
125,41,41,c4,tool,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,665,0,53,721,48,False
126,42,42,c4,user,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,448,0,21,471,18,False
127,42,42,c4,assistant,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,448,0,26,476,18,False
128,42,42,c4,tool,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,448,0,23,474,18,False
129,43,43,c4,user,c1a0af159f1ca1cb3bbb230daff94ec27166735d594c491c04f4bb7b1953ae36,436,436,0,95,533,92,False
130,43,43,c4,assistant,c1a0af159f1ca1cb3bbb230daff94ec27166735d594c491c04f4bb7b1953ae36,436,436,0,100,538,92,False
131,43,43,c4,tool,c1a0af159f1ca1cb3bbb230daff94ec27166735d594c491c04f4bb7b1953ae36,436,436,0,97,536,92,False
132,44,44,c4,user,f85778a034be4bf12cac3f836b70fd9f4ba1b6632bfe1659bceec6b8933e5838,511,511,0,50,563,47,False
133,44,44,c4,assistant,f85778a034be4bf12cac3f836b70fd9f4ba1b6632bfe1659bceec6b8933e5838,511,511,0,54,567,47,False
134,44,44,c4,tool,f85778a034be4bf12cac3f836b70fd9f4ba1b6632bfe1659bceec6b8933e5838,511,511,0,52,566,47,False
135,45,45,c4,user,69b9afaccedb9a8ca82437d6a9324f9dc5ea96b0102f7ee6cd9a48277e6bc67c,166,166,0,40,208,37,False
136,45,45,c4,assistant,69b9afaccedb9a8ca82437d6a9324f9dc5ea96b0102f7ee6cd9a48277e6bc67c,166,166,0,45,213,37,False
137,45,45,c4,tool,69b9afaccedb9a8ca82437d6a9324f9dc5ea96b0102f7ee6cd9a48277e6bc67c,166,166,0,42,211,37,False
138,46,46,c4,user,3b6b399ee5371a824d65d110eb7c01b12c095ed2500b66c0ed2a80a9c2683489,562,562,0,60,624,57,False
139,46,46,c4,assistant,3b6b399ee5371a824d65d110eb7c01b12c095ed2500b66c0ed2a80a9c2683489,562,562,0,65,629,57,False
140,46,46,c4,tool,3b6b399ee5371a824d65d110eb7c01b12c095ed2500b66c0ed2a80a9c2683489,562,562,0,62,627,57,False
141,47,47,c4,user,e897dfc6c38fba6fdf793b3d7c2dbe3c4433f0dfed20833d9de542ec3e33efb9,432,432,0,19,453,16,False
142,47,47,c4,assistant,e897dfc6c38fba6fdf793b3d7c2dbe3c4433f0dfed20833d9de542ec3e33efb9,432,432,0,24,458,16,False
143,47,47,c4,tool,e897dfc6c38fba6fdf793b3d7c2dbe3c4433f0dfed20833d9de542ec3e33efb9,432,432,0,21,456,16,False
144,48,48,c4,user,f67b0e3a402cb28e8a99941d0bed1b4d071407051b31770c367a0d9d8e2ea0f9,406,406,0,24,432,21,False
145,48,48,c4,assistant,f67b0e3a402cb28e8a99941d0bed1b4d071407051b31770c367a0d9d8e2ea0f9,406,406,0,29,437,21,False
146,48,48,c4,tool,f67b0e3a402cb28e8a99941d0bed1b4d071407051b31770c367a0d9d8e2ea0f9,406,406,0,26,435,21,False
147,49,49,c4,user,08f877b33b6e486a7ba4765649feb5fadcf14d7ebea2b0e7cc5ff53266fe8b96,384,384,0,4,390,1,False
148,49,49,c4,assistant,08f877b33b6e486a7ba4765649feb5fadcf14d7ebea2b0e7cc5ff53266fe8b96,384,384,0,9,395,1,False
149,49,49,c4,tool,08f877b33b6e486a7ba4765649feb5fadcf14d7ebea2b0e7cc5ff53266fe8b96,384,384,0,6,393,1,False
150,50,50,c4,user,7b72d99857ddd465bb34d825da42f7eb2b54b620d6118250aded52081b2df793,1024,1024,0,8,1034,5,True
151,50,50,c4,assistant,7b72d99857ddd465bb34d825da42f7eb2b54b620d6118250aded52081b2df793,1024,1024,0,13,1039,5,True
152,50,50,c4,tool,7b72d99857ddd465bb34d825da42f7eb2b54b620d6118250aded52081b2df793,1024,1024,0,10,1038,5,True
153,51,51,c4,user,bb27d7bd690328c9102f0e77bb022b4cdef3bf7ebe87ffd28fc3a31eed64d990,96,96,0,3,101,0,False
154,51,51,c4,assistant,bb27d7bd690328c9102f0e77bb022b4cdef3bf7ebe87ffd28fc3a31eed64d990,96,96,0,7,105,0,False
155,51,51,c4,tool,bb27d7bd690328c9102f0e77bb022b4cdef3bf7ebe87ffd28fc3a31eed64d990,96,96,0,5,104,0,False
156,52,52,c4,user,60891ca0489da80c00ce65a658f2f7ae0dca874e3fddd2a21f17ed546c9b296e,685,685,0,41,728,38,False
157,52,52,c4,assistant,60891ca0489da80c00ce65a658f2f7ae0dca874e3fddd2a21f17ed546c9b296e,685,685,0,45,732,38,False
158,52,52,c4,tool,60891ca0489da80c00ce65a658f2f7ae0dca874e3fddd2a21f17ed546c9b296e,685,685,0,43,731,38,False
159,53,53,c4,user,ae4194aca98111f9284b262c7cc5a8f001fbcd5bb539855b8a46a201bcb7a9df,44,44,0,34,80,31,False
160,53,53,c4,assistant,ae4194aca98111f9284b262c7cc5a8f001fbcd5bb539855b8a46a201bcb7a9df,44,44,0,39,85,31,False
161,53,53,c4,tool,ae4194aca98111f9284b262c7cc5a8f001fbcd5bb539855b8a46a201bcb7a9df,44,44,0,36,83,31,False
162,54,54,c4,user,a22eb3c5523a8781e3b24e0b3d508e7e1a7a430526a949fd2e99ddbef755cb36,104,104,0,117,223,114,False
163,54,54,c4,assistant,a22eb3c5523a8781e3b24e0b3d508e7e1a7a430526a949fd2e99ddbef755cb36,104,104,0,122,228,114,False
164,54,54,c4,tool,a22eb3c5523a8781e3b24e0b3d508e7e1a7a430526a949fd2e99ddbef755cb36,104,104,0,119,226,114,False
165,55,55,c4,user,1d7cfc194e52eb7842918fd07314293a717ec5a190ebbe8110fa995466fdd653,1024,1024,0,52,1078,49,True
166,55,55,c4,assistant,1d7cfc194e52eb7842918fd07314293a717ec5a190ebbe8110fa995466fdd653,1024,1024,0,57,1083,49,True
167,55,55,c4,tool,1d7cfc194e52eb7842918fd07314293a717ec5a190ebbe8110fa995466fdd653,1024,1024,0,54,1082,49,True
168,56,56,c4,user,2c23cfb5055cb83cfcb0a152fb6485c0af07287839fe3548e0f4d47e1ef28198,67,67,0,85,154,82,False
169,56,56,c4,assistant,2c23cfb5055cb83cfcb0a152fb6485c0af07287839fe3548e0f4d47e1ef28198,67,67,0,90,159,82,False
170,56,56,c4,tool,2c23cfb5055cb83cfcb0a152fb6485c0af07287839fe3548e0f4d47e1ef28198,67,67,0,87,157,82,False
171,57,57,c4,user,4d62aeae95916cd6418bc34d860af594f65b4b5b50842906f323a19e1f225363,121,121,0,10,133,7,False
172,57,57,c4,assistant,4d62aeae95916cd6418bc34d860af594f65b4b5b50842906f323a19e1f225363,121,121,0,15,138,7,False
173,57,57,c4,tool,4d62aeae95916cd6418bc34d860af594f65b4b5b50842906f323a19e1f225363,121,121,0,12,136,7,False
174,58,58,c4,user,42f7a7949ad95ae9ac7f0ec08dae75abd7b0dc532bb8117145de31c73321fa04,459,459,0,3,464,0,False
175,58,58,c4,assistant,42f7a7949ad95ae9ac7f0ec08dae75abd7b0dc532bb8117145de31c73321fa04,459,459,0,7,468,0,False
176,58,58,c4,tool,42f7a7949ad95ae9ac7f0ec08dae75abd7b0dc532bb8117145de31c73321fa04,459,459,0,5,467,0,False
177,59,59,c4,user,6bcc3dace2d425ed30979a40f1022728e51323bd21936ef6c22ce56288aed6ac,55,55,0,43,100,40,False
178,59,59,c4,assistant,6bcc3dace2d425ed30979a40f1022728e51323bd21936ef6c22ce56288aed6ac,55,55,0,47,104,40,False
179,59,59,c4,tool,6bcc3dace2d425ed30979a40f1022728e51323bd21936ef6c22ce56288aed6ac,55,55,0,45,103,40,False
180,60,60,c4,user,5df716e88269eefb38e232e867aaa02fe7c29c6a5b869030031a2a8f39c2ee4c,450,450,0,55,507,52,False
181,60,60,c4,assistant,5df716e88269eefb38e232e867aaa02fe7c29c6a5b869030031a2a8f39c2ee4c,450,450,0,60,512,52,False
182,60,60,c4,tool,5df716e88269eefb38e232e867aaa02fe7c29c6a5b869030031a2a8f39c2ee4c,450,450,0,57,510,52,False
183,61,61,c4,user,b5a5efa0775be379ec3e978313a64ba7b6140f8740129c25635c86bd62b8a24c,171,171,0,3,176,0,False
184,61,61,c4,assistant,b5a5efa0775be379ec3e978313a64ba7b6140f8740129c25635c86bd62b8a24c,171,171,0,7,180,0,False
185,61,61,c4,tool,b5a5efa0775be379ec3e978313a64ba7b6140f8740129c25635c86bd62b8a24c,171,171,0,5,179,0,False
186,62,62,dolma3,user,4c9a5b5ea8ed48481591b8997ca5c38c24e0dd82c336b77c3652ec75e4f26c4c,435,435,0,2,439,0,False
187,62,62,dolma3,assistant,4c9a5b5ea8ed48481591b8997ca5c38c24e0dd82c336b77c3652ec75e4f26c4c,435,435,0,6,443,0,False
188,62,62,dolma3,tool,4c9a5b5ea8ed48481591b8997ca5c38c24e0dd82c336b77c3652ec75e4f26c4c,435,435,0,4,443,0,False
189,63,63,dolma3,user,8cdf244994c48a33a227a1e0d934b949667b31f428179cd56c40361f69e6819e,383,383,0,220,605,217,False
190,63,63,dolma3,assistant,8cdf244994c48a33a227a1e0d934b949667b31f428179cd56c40361f69e6819e,383,383,0,225,610,217,False
191,63,63,dolma3,tool,8cdf244994c48a33a227a1e0d934b949667b31f428179cd56c40361f69e6819e,383,383,0,222,608,217,False
192,64,64,dolma3,user,4e121e12e4c11a8ef3f4febe71d64952c8eedc98e399b83411befe66fe785337,452,452,0,3,457,0,True
193,64,64,dolma3,assistant,4e121e12e4c11a8ef3f4febe71d64952c8eedc98e399b83411befe66fe785337,452,452,0,7,461,0,True
194,64,64,dolma3,tool,4e121e12e4c11a8ef3f4febe71d64952c8eedc98e399b83411befe66fe785337,452,452,0,5,461,0,True
195,65,65,dolma3,user,9b729a46ef6f0f9b0ca28d82b2169dfc4d640799d79b71c7b50c46b840fa7487,350,350,0,47,399,44,True
196,65,65,dolma3,assistant,9b729a46ef6f0f9b0ca28d82b2169dfc4d640799d79b71c7b50c46b840fa7487,350,350,0,52,404,44,True
197,65,65,dolma3,tool,9b729a46ef6f0f9b0ca28d82b2169dfc4d640799d79b71c7b50c46b840fa7487,350,350,0,49,403,44,True
198,66,66,dolma3,user,8e3c281518955797e070600ce2deb1e4989b8ebb7be0a5a51bebefcbe316c407,794,794,0,63,859,60,True
